1	ZZZZZ.THE HAPPY PRINCEZZZZZ.	The Happy Prince	快乐王子	快乐王子
2	ZZZZZ.by Oscar Wilde, 1888ZZZZZ.	The Happy Prince	〔英〕奥斯卡·王尔德著;巴金译, 1957/1997	快乐王子
3	ZZZZZ.High above the city, on a tall column, stood the statue of the Happy Prince.|He was gilded all over with thin leaves of fine gold, for eyes he had two bright sapphires, and a large red ruby glowed on his sword-hilt.ZZZZZ.	The Happy Prince	快乐王子的像[立]在一根高圆柱上面，高高地耸立在城市的上空。|他满身贴着薄薄的纯金叶子，一对晶莹的蓝宝石做成他的眼睛，一颗大的红宝石嵌在他的剑柄上，灿烂地发着红光。	快乐王子
4	ZZZZZ.He was very much admired indeed.|"He is as beautiful as a weathercock," remarked one of the Town Councillors who wished to gain a reputation for having artistic tastes; "only not quite so useful," he added, fearing lest people should think him unpractical, which he really was not.ZZZZZ.	The Happy Prince	他的确得到一般人的称赞。|一个市参议员为了表示自己有艺术的欣赏力，说：“他象风信标那样漂亮，”不过他又害怕别人会把他看做一个不务实际的人（其实他并不是不务实际的），便加上一句：“只是他不及风信标那样有用（译注:Weathercock,或译定风针”。）	快乐王子
5	ZZZZZ."Why can't you be like the Happy Prince?" asked a sensible mother of her little boy who was crying for the moon.|"The Happy Prince never dreams of crying for anything."ZZZZZ.	The Happy Prince	“为什么你不能象快乐王子那样呢？”一位聪明的母亲对她那个哭着要月亮的孩子说，|“快乐王子连做梦也没想到会哭着要东西。”	快乐王子
6	ZZZZZ."I am glad there is some one in the world who is quite happy," muttered a disappointed man as he gazed at the wonderful statue.ZZZZZ.	The Happy Prince	“我真高兴世界上毕竟还有一个人是很快乐的。”一个失意的人望着这座非常出色的像喃喃地说。	快乐王子
7	ZZZZZ."He looks just like an angel," said the Charity Children as they came out of the cathedral in their bright scarlet cloaks and their clean white pinafores.ZZZZZ.	The Happy Prince	“他很像一个天使，”孤儿院的孩子们说，他们正从大教堂出来，披着光亮夺目的猩红色斗篷，束着洁白的遮胸。	快乐王子
8	ZZZZZ."How do you know?" said the Mathematical Master, "you have never seen one."ZZZZZ.	The Happy Prince	“你们怎么知道？”数学先生说，“你们从没有见过一位天使。”	快乐王子
9	ZZZZZ."Ah! but we have, in our dreams," answered the children; and the Mathematical Master frowned and looked very severe, for he did not approve of children dreaming.ZZZZZ.	The Happy Prince	“啊！可是我们在梦里见过的。”孩子们答道。数学先生皱起眉头，板着面孔，因为他不赞成小孩子做梦。	快乐王子
10	ZZZZZ.One night there flew over the city a little Swallow.|His friends had gone away to Egypt six weeks before, but he had stayed behind, for he was in love with the most beautiful Reed.|He had met her early in the spring as he was flying down the river after a big yellow moth, and had been so attracted by her slender waist that he had stopped to talk to her.ZZZZZ.	The Happy Prince	某一个夜晚一只小燕子飞过城市的上空。|他的朋友们六个星期以前就到埃及去了，但是他还留在后面，因为他恋着那根最美丽的芦苇。|他还是在早春遇见她的，那时他正沿着河顺流飞去，追一只黄色飞蛾，她的细腰很引起他的注意，他便站住同她谈起话来。	快乐王子
87	ZZZZZ.THE NIGHTINGALE AND THE ROSEZZZZZ.	The Nightingale and the Rose	夜莺与蔷薇	夜莺与蔷薇
88	ZZZZZ.from The Happy Prince and Other Tales by Oscar Wilde, 1888ZZZZZ.	The Nightingale and the Rose	〔英〕奥斯卡·王尔德著;巴金译, 1957/1997	夜莺与蔷薇
89	ZZZZZ."She said that she would dance with me if I brought her red roses," cried the young Student; "but in all my garden there is no red rose."ZZZZZ.	The Nightingale and the Rose	“她说过只要我送给她一朵红蔷薇，她就会同我跳舞，”年轻的学生大声说；“可是我的花园里，连一朵红蔷薇也没有。”	夜莺与蔷薇
90	ZZZZZ.From her nest in the holm-oak tree the Nightingale heard him, and she looked out through the leaves, and wondered.ZZZZZ.	The Nightingale and the Rose	夜莺在她的常青橡树上的巢里听见了他的话，她从绿叶丛中向外张望，非常惊讶。	夜莺与蔷薇
91	ZZZZZ."No red rose in all my garden!" he cried, and his beautiful eyes filled with tears.|"Ah, on what little things does happiness depend!|I have read all that the wise men have written, and all the secrets of philosophy are mine, yet for want of a red rose is my life made wretched."ZZZZZ.	The Nightingale and the Rose	“找遍我整个花园都找不到一朵红蔷薇，”他带哭说，他美丽的眼睛里充满了泪水。|“唉，想不到幸福就系在这么细小的事情上面!|我读过了那些聪明人写的东西，一切学问的秘密我都知道了，可是因为少了一朵红蔷薇，我的生活就变成很不幸的了。”	夜莺与蔷薇
92	ZZZZZ."Here at last is a true lover," said the Nightingale.|"Night after night have I sung of him, though I knew him not: night after night have I told his story to the stars, and now I see him.|His hair is dark as the hyacinth-blossom, and his lips are red as the rose of his desire; but passion has made his face like pale ivory, and sorrow has set her seal upon his brow."ZZZZZ.	The Nightingale and the Rose	“现在到底找到一个忠实的情人了，”夜莺自语道。|“我虽然不认识他，可是我每夜都在歌颂他。我一夜又一夜地把他的故事讲给星星听，现在我亲眼看见他了。|他的头发黑得像盛开的风信子，他的嘴唇就像他想望的蔷薇那样红。可是热情使他的脸变得像一块失色的象牙，忧愁已经印上了他的眉梢。”	夜莺与蔷薇
