1	ZZZZZ.THE HAPPY PRINCEZZZZZ.	快乐王子	快乐王子	快乐王子	快乐王子
2	ZZZZZ.by Oscar Wilde, 1888ZZZZZ.	〔英〕奥斯卡·王尔德著;巴金译, 1957/1997	选自《王尔德童话》〔英〕奥斯卡·王尔德著;王林译, 1996	选自《快乐王子》〔英〕奥斯卡·王尔德著;蔡荣寿译, 2012	选自《快乐王子》〔英〕奥斯卡·王尔德著;高延征译
3	ZZZZZ.High above the city, on a tall column, stood the statue of the Happy Prince.|He was gilded all over with thin leaves of fine gold, for eyes he had two bright sapphires, and a large red ruby glowed on his sword-hilt.ZZZZZ.	快乐王子的像[立]在一根高圆柱上面，高高地耸立在城市的上空。|他满身贴着薄薄的纯金叶子，一对晶莹的蓝宝石做成他的眼睛，一颗大的红宝石嵌在他的剑柄上，灿烂地发着红光。	快乐王子的雕像高高地耸立在城市上空—根高大的石柱上面。|他浑身上下镶满了薄薄的黄金叶片，明亮的蓝宝石做成他的双眼，剑柄上还嵌着一颗硕大的灿灿发光的红色宝石。	快乐王子的塑像耸立在城市上空—根高高的石柱上。|他满身镶满了薄薄的黄金叶片，他的双眼是由两颗明亮的蓝宝石做成，他的佩剑柄上还嵌着一颗红宝石，亮闪闪的。	在一根高大的圆柱上，快乐王子的雕像耸立在城市的上空。|他浑身包着纯金的金箔，眼睛是两颗明亮的蓝宝石做的，剑柄上还镶着一颗闪闪发光的巨大的红宝石。
4	ZZZZZ.He was very much admired indeed.|"He is as beautiful as a weathercock," remarked one of the Town Councillors who wished to gain a reputation for having artistic tastes; "only not quite so useful," he added, fearing lest people should think him unpractical, which he really was not.ZZZZZ.	他的确得到一般人的称赞。|一个市参议员为了表示自己有艺术的欣赏力，说：“他象风信标那样漂亮，”不过他又害怕别人会把他看做一个不务实际的人（其实他并不是不务实际的），便加上一句：“只是他不及风信标那样有用（译注:Weathercock,或译定风针”。）	世人对他真是称羡不已。|“他像风标一样漂亮，”一位想表现自己有艺术品味的市参议员说了一句，接着又因担心人们将他视为不务实际的人，其实他倒是怪务实的，便补充道：“只是不如风标那么实用。”	人们的确对他称羡不已。|一位为了表现自己有艺术修养的市政务委员会委员评论说：“他像风信标那样漂亮。”因担心人们将他视为不务实际的人，他便补充道：“只是不如风信标那么实用。”	他确实受到了人们极大的赞扬。|“他美得像屋顶上指示风向的风信鸽一样。”一位希望人们称赞自己有艺术鉴赏力的市议员说道，“只是没有多大的用处。”由于害怕人们以为自己不讲实际，他又加上一句，其实他并不是不讲实际的人。
5	ZZZZZ."Why can't you be like the Happy Prince?" asked a sensible mother of her little boy who was crying for the moon.|"The Happy Prince never dreams of crying for anything."ZZZZZ.	“为什么你不能象快乐王子那样呢？”一位聪明的母亲对她那个哭着要月亮的孩子说，|“快乐王子连做梦也没想到会哭着要东西。”	“你为什么不能像快乐王子一样呢？”一位明智的母亲对自己那哭喊着要月亮的小男孩说，|“快乐王子做梦时都从没有想过哭着要东西。”	“为什么你不能像快乐王子一样呢？”一位聪明的母亲对自己那个哭着要月亮的小儿子说，|“快乐王子就是做梦时都从没想过哭着要东西。”	“你为什么不能像快乐王子那样？”一位聪明的母亲对他那哭着想要月亮的小男孩说，|“快乐王子连做梦也没想到会哭着要东西。”
6	ZZZZZ."I am glad there is some one in the world who is quite happy," muttered a disappointed man as he gazed at the wonderful statue.ZZZZZ.	“我真高兴世界上毕竟还有一个人是很快乐的。”一个失意的人望着这座非常出色的像喃喃地说。	“世上还有如此快乐的人真让我高兴，”一位沮丧的汉子凝视着这座非凡的雕像喃喃自语地说着。	“世上还有如此快乐的人，真让我高兴，”一位失意的男子凝视着这座精美的塑像喃喃自语地说着。	“我真高兴世上毕竟还有一个人是很快乐的。”一位很失意的人凝望着这座非常出色的雕像喃喃地说。
7	ZZZZZ."He looks just like an angel," said the Charity Children as they came out of the cathedral in their bright scarlet cloaks and their clean white pinafores.ZZZZZ.	“他很像一个天使，”孤儿院的孩子们说，他们正从大教堂出来，披着光亮夺目的猩红色斗篷，束着洁白的遮胸。	“他看上去就像位天使，”孤儿院的孩子们说。他们正从教堂走出来，身上披着鲜红夺目的斗篷，胸前挂着干净雪白的围嘴儿。	“他看上去就像个天使，”孤儿院的孩子们赞叹着。他们正从大教堂走出，身上披着漂亮的猩红斗篷，胸前挂着洁净的雪白前围。	“他看上去真像一位天使。”那些系着洁白的围兜，披着猩红色斗篷的孤儿院的孩子们从大教堂里走出来时，这么说道。
8	ZZZZZ."How do you know?" said the Mathematical Master, "you have never seen one."ZZZZZ.	“你们怎么知道？”数学先生说，“你们从没有见过一位天使。”	“你们是怎么知道的？”数学教师问道，“你们又没见过天使的模样。”	“你们是怎么知道的？”数学教师问道，“你们从来没见过天使的模样。”	“你们是怎么知道的？”数学教师说，“你们从来没有看见过天使呀！”
9	ZZZZZ."Ah! but we have, in our dreams," answered the children; and the Mathematical Master frowned and looked very severe, for he did not approve of children dreaming.ZZZZZ.	“啊！可是我们在梦里见过的。”孩子们答道。数学先生皱起眉头，板着面孔，因为他不赞成小孩子做梦。	“啊！可我们见过，是在梦里见到的。”孩子们答道。数学教师皱皱眉头并绷起了面孔，因为他不赞成孩子们做梦。	“啊！可是我们见过，是在梦中见到的。”孩子们答道。数学教师皱起眉头，表情变得十分严肃，因为他不喜欢孩子们做梦。	“啊哈，我们在梦里见过。”孩子们回答说。数学教师皱了皱眉头，样子非常严肃，因为他不赞成孩子们做梦。
10	ZZZZZ.One night there flew over the city a little Swallow.|His friends had gone away to Egypt six weeks before, but he had stayed behind, for he was in love with the most beautiful Reed.|He had met her early in the spring as he was flying down the river after a big yellow moth, and had been so attracted by her slender waist that he had stopped to talk to her.ZZZZZ.	某一个夜晚一只小燕子飞过城市的上空。|他的朋友们六个星期以前就到埃及去了，但是他还留在后面，因为他恋着那根最美丽的芦苇。|他还是在早春遇见她的，那时他正沿着河顺流飞去，追一只黄色飞蛾，她的细腰很引起他的注意，他便站住同她谈起话来。	有天夜里，一只小燕子从城市上空飞过。|他的朋友们早在六个星期前就飞往埃及去了，可他却留在了后面，因为他太留恋那美丽无比的芦苇小姐。|他是在早春时节遇上她的，当时他正顺河而下去追逐一只黄色的大飞蛾。他为她那纤细的腰身着了迷，便停下身来同她说话。	一个漆黑的夜晚，一只小燕子飞过城市的上空。|他的朋友们早在六个星期前就飞离此地到埃及去了，可他还迟迟未走，因为他爱恋着那位美丽无比的芦苇妹妹。|他是在初春时节遇见她的，当时他正顺河而下追逐一只黄色的大飞蛾。他深深地被她那纤细的腰迷住了，于是停下身来同她说话。	一天夜里，一只小燕子飞过这座城市。|他的朋友们六星期前就飞往埃及去了，但是他留了下来，因为他眷恋着那根最最美丽的芦苇。|早在春天的时候，他为了追逐一只黄色的飞蛾，顺河流而下，与她相遇了。他被她的纤纤细腰给迷住了，便停下来与她攀谈起来。
87	ZZZZZ.THE NIGHTINGALE AND THE ROSEZZZZZ.	夜莺与蔷薇	夜莺与玫瑰	夜莺与玫瑰	夜莺与玫瑰
